,num_yelp_bus,med_hh_income,est_num_damaged_bus,zip_code,2010 Census Population,Date,RegionID,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
68,1.0,54079,1865,77073,34790,2019-03-31,91722.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,2590.0,165400.0,0.00486026731470231,0.026691495965239,0.0917491749174918,0.0671697837956813,0.0309869781144876,2019-03,2019-Q1,165400.0,0.0,2019-03
69,12.0,36593,2800,77074,37267,2019-03-31,91723.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,2309.0,169300.0,0.00893921334922527,0.0168168168168168,0.034841075794621,0.104067058293736,0.0452081952440277,2019-03,2019-Q1,169300.0,0.0,2019-03
70,3.0,50653,1533,77075,37388,2019-03-31,91724.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,3123.0,176500.0,0.005125284738041,0.0249709639953542,0.070995145631068,0.0885103055203203,0.0381320576019581,2019-03,2019-Q1,176500.0,0.0,2019-03
71,50.0,34842,1222,77076,33803,2019-03-31,91725.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,4722.0,124000.0,-0.0008058017727639,0.00649350649350649,0.112107623318386,0.104906025061369,0.0409607614396115,2019-02,2019-Q1,124100.0,-0.0008058017727639,2019-02
72,12.0,66587,4808,77077,52151,2019-03-31,91726.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,68.0,305300.0,0.00131190554280092,0.00559947299077734,-0.00715447154471545,0.0480883839945891,0.0413968005524725,2018-04,2018-Q2,308000.0,-0.008766233766233771,2018-02
73,4.0,35770,418,77078,14777,2019-03-31,91727.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,8066.0,109900.0,0.0166512488436633,0.0732421875,0.11460446247464501,0.10338146405071301,0.0442171369293218,2019-03,2019-Q1,109900.0,0.0,2019-03
74,9.0,98774,4569,77079,31280,2019-03-31,91728.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,2251.0,482100.0,0.0012461059190031199,0.0147337402652073,0.0765966949531041,0.0283552545401187,0.0359648442824876,2019-03,2019-Q1,482100.0,0.0,2019-03
75,4.0,44386,2047,77080,45275,2019-03-31,91729.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,1543.0,258500.0,0.00740452065471551,0.019723865877712,0.0486815415821501,0.106427308732546,0.0624882685141506,2019-03,2019-Q1,258500.0,0.0,2019-03
76,70.0,29079,2707,77081,47860,,,,,,,,,,,,,,,,,,
77,4.0,53999,3177,77082,49900,2019-03-31,91731.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,302.0,181300.0,0.00276548672566372,0.0162556053811659,0.0552968568102445,0.0824493766759014,0.0361561888959929,2019-03,2019-Q1,181300.0,0.0,2019-03
78,10.0,54786,3541,77083,70837,2019-03-31,91732.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,440.0,175200.0,0.00458715596330275,0.0186046511627907,0.0695970695970696,0.0897474215294409,0.0404923251722493,2019-03,2019-Q1,175200.0,0.0,2019-03
79,7.0,65617,5764,77084,95137,2019-03-31,91733.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,7.0,178200.0,0.0056433408577878106,0.0270893371757925,0.0945945945945946,0.0722955024016421,0.0374310782944494,2019-03,2019-Q1,178200.0,0.0,2019-03
80,1.0,55950,581,77085,16074,2019-03-31,91734.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,7597.0,155000.0,0.0117493472584856,0.039570757880617,0.0719225449515906,0.0964745824376305,0.0381436439927005,2019-03,2019-Q1,155000.0,0.0,2019-03
81,3.0,43116,1380,77086,28009,2019-03-31,91735.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,5579.0,144100.0,0.00418118466898955,0.0300214438884918,0.0729709605361132,0.0984690829721109,0.0414520394407356,2019-03,2019-Q1,144100.0,0.0,2019-03
82,103.0,35302,1932,77087,36399,2019-03-31,91736.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,3730.0,134900.0,0.0029739776951672897,0.0173453996983409,0.0481740481740482,0.10254499617644901,0.047641886508705995,2019-03,2019-Q1,134900.0,0.0,2019-03
83,4.0,44472,1810,77088,49660,2019-03-31,91737.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,1307.0,140200.0,0.00501792114695341,0.0203784570596798,0.0902021772939347,0.0953912073127721,0.0385984689854804,2019-03,2019-Q1,140200.0,0.0,2019-03
84,4.0,66775,2241,77089,48685,2019-03-31,91738.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,1092.0,185900.0,0.000538213132400431,0.0119760479041916,0.0508762012436405,0.0819230431945932,0.0388373767176204,2019-03,2019-Q1,185900.0,0.0,2019-03
85,6.0,39392,2465,77090,32930,2019-03-31,91739.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,1389.0,177900.0,0.005084745762711861,0.0277296360485269,0.0954433497536946,0.0714232850742316,0.034359321488586,2019-03,2019-Q1,177900.0,0.0,2019-03
86,56.0,32500,1354,77091,23472,2019-03-31,91740.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,4173.0,133500.0,0.0167555217060168,0.0487038491751767,0.0818476499189627,0.0989229741322979,0.0333099690978123,2019-03,2019-Q1,133500.0,0.0,2019-03
87,112.0,39921,3591,77092,33745,2019-03-31,91741.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,2269.0,226700.0,-0.00787746170678337,-0.0203111495246327,-0.0506700167504188,0.10792496894975,0.0526576894603727,2018-05,2018-Q2,239900.0,-0.055022926219257993,2017-09
88,30.0,30837,1784,77093,46929,2019-03-31,91742.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,2710.0,118800.0,0.005927180355630821,0.0330434782608696,0.188,0.12338772015142402,0.0452716950257417,2019-03,2019-Q1,118800.0,0.0,2019-03
89,1.0,158160,1101,77094,8498,2019-03-31,91743.0,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,8583.0,377500.0,-0.000264830508474576,0.017794553788083,0.0136949516648765,0.0312283675766607,0.035666340743671,2016-03,2016-Q1,394900.0,-0.0440617877943783,2015-06
